# Manual party attributions for parliamentarians who are silently missing from
# persons.sqlite's party field. Each row is applied at pipeline build time as
# an extra INSERT into the affiliation table.
# Columns:
#   person_id   swerik canonical id
#   name        primary_name from persons.sqlite (for readability)
#   start_date  YYYY-MM-DD, inclusive
#   end_date    YYYY-MM-DD, inclusive
#   party       swerik canonical party name (must be in DEFAULT_PARTY_MAPPING)
#   confidence  high | medium | low
#   source_note free-form provenance / caveat
#
# Each person occupies 1..N rows honoring party switches over their career.
person_id,name,start_date,end_date,party,confidence,source_note
i-KBbXYtnknZx7i11LnE5ff8,viktor herou,1940-01-01,1940-12-30,Bondeförbundet,medium,defected to Bf in 1940
i-S4jJECjfFmddUzRkooT6yP,august spångberg,1922-01-10,1929-12-31,Sveriges kommunistiska parti,medium,en.wiki August Spångberg; entered Riksdag 1922 as youngest MP
i-S4jJECjfFmddUzRkooT6yP,august spångberg,1930-01-01,1934-12-31,Kilbomspartiet,medium,
i-S4jJECjfFmddUzRkooT6yP,august spångberg,1935-01-01,1937-12-31,Socialistiska partiet,medium,
i-S4jJECjfFmddUzRkooT6yP,august spångberg,1938-01-01,1964-12-17,Socialdemokraterna,medium,rejoined S in 1938
i-DA7GTCA3CU2XWPSDGEB8tG,sten stendahl,1919-01-10,1934-12-31,Första kammarens nationella parti,high,sv.wiki Sten Stendahl
i-DA7GTCA3CU2XWPSDGEB8tG,sten stendahl,1935-01-01,1937-06-15,Högerns riksdagsgrupp,high,
i-QnWx7Lh7suT7PiAPY3oh23,otto holmdahl,1925-01-10,1934-12-31,Lantmanna- och borgarepartiet inom andrakammaren,high,sv.wiki Otto Holmdahl (teolog); maps to Bf
i-QnWx7Lh7suT7PiAPY3oh23,otto holmdahl,1935-01-01,1944-12-30,Högerns riksdagsgrupp,high,
i-8e97Z8CH9cGtDJXCnfJMMg,erik nylander,1918-01-15,1934-12-31,Lantmanna- och borgarepartiet inom andrakammaren,high,sv.wiki Erik Nylander; maps to Bf
i-8e97Z8CH9cGtDJXCnfJMMg,erik nylander,1935-01-01,1941-07-19,Högerns riksdagsgrupp,high,
